name,n_channels,depth,params,g_macs,gflops,cpu_latency_ms,cpu_latency_std,peak_gpu_mb,test_dice_3d,test_dice_std,test_hd95_3d,test_hd95_std
PIE-UNet-T,3,4,466687,7.420091844,14.840183688,50.19517563050613,1.3356511625605587,943.54736328125,0.9079972727446493,0.0555785240720554,1.2507830581179455,1.5182870130922308
PIE-UNet-M,5,5,1597706,11.206901772,22.413803544,71.08061877079308,0.4550906573711106,1119.44580078125,0.9126385096826669,0.04875415287666402,1.1289384754760767,0.4345471803188749
PIE-UNet-XL,7,6,5953743,16.015985688,32.031971376,97.10687189595774,0.43715563865449203,1313.37841796875,0.9029459451062166,0.07321668207003855,1.120273556607687,0.8622443180026974
