profile,name,n_channels,depth,params,params_m,gflops,cpu_latency_ms,peak_ram_mb,dice,hd95
T,PIE-UNet-T,3,4,466687,0.466687,14.840183688,41.99996901792474,0.004744529724121094,0.9155983036024528,2.3177040352675182
S,PIE-UNet-S,5,4,467551,0.467551,14.926887816,41.67774430476129,0.004744529724121094,0.9191612416789646,3.1065814282210975
M,PIE-UNet-M,5,5,1597706,1.597706,22.413803544,60.43853576411493,0.005736351013183594,0.9237927170026868,2.243163487183357
L,PIE-UNet-L,7,5,1598570,1.59857,22.500507672,60.84528050967492,0.005680084228515625,0.9202390887119153,2.354555649768987
XL,PIE-UNet-XL,7,6,5953743,5.953743,32.031971376,85.27558563277125,0.006463050842285156,0.9222492200356943,2.967658339984021
