profile,name,n_channels,depth,params,params_m,g_macs,gflops,cpu_latency_ms,peak_gpu_mb,val_dice,test_dice,test_hd95
T,PIE-UNet-T,3,4,466687,0.466687,7.420091844,14.840183688,41.444504897808656,4685.224609375,0.9175405450034559,0.9152585072950883,2.713354576635801
S,PIE-UNet-S,5,4,467551,0.467551,7.463443908,14.926887816,42.089347465662286,4742.638671875,0.9197906170572553,0.9135641363240028,2.6000673008882615
M,PIE-UNet-M,5,5,1597706,1.597706,11.206901772,22.413803544,60.44496183749288,5691.2431640625,0.9228372261637733,0.9171068580575691,2.325621988826577
L,PIE-UNet-L,7,5,1598570,1.59857,11.250253836,22.500507672,60.5165166920051,5597.6044921875,0.9234842702194497,0.9188774817519718,2.36887688554828
XL,PIE-UNet-XL,7,6,5953743,5.953743,16.015985688,32.031971376,87.442032211693,8860.88720703125,0.9221377725954408,0.9120431515905593,2.5537374818926026
