name,n_channels,depth,params_m,g_macs,gflops,cpu_latency_ms,peak_gpu_mb,test_dice_3d,test_hd95_3d
PIE-UNet-T,3,4,0.466687,7.420091844,14.840183688,51.52000295929611,943.54736328125,0.9079972727446494,1.2507830581179453
PIE-UNet-S,5,4,0.467551,7.463443908,14.926887816,49.140122587559745,949.67578125,0.908603138200237,1.1536916798458616
PIE-UNet-M,5,5,1.597706,11.206901772,22.413803544,70.51491141319275,1119.44580078125,0.9126385096826669,1.128938475476077
PIE-UNet-L,7,5,1.59857,11.250253836,22.500507672,70.92569296131842,1126.56201171875,0.9107933584481196,1.0730403077014918
PIE-UNet-XL,7,6,5.953743,16.015985688,32.031971376,97.56061622058041,1313.37841796875,0.9029459451062167,1.120273556607687
